@relation Train

@attribute X numeric
@attribute Y numeric
@attribute Z numeric
@attribute class {0,1,2}

@data
0.012875,0.070854,-0.869759,1
0.02192,0.032336,-0.999387,0
0.032658,-1.002879,0.082431,0
0.03011,-1.000665,0.079224,0
-0.46361,-0.829541,0.070599,2
-0.80545,0.586975,0.051117,1
0.034358,-1.004014,0.083209,0
-0.783722,0.610809,0.032898,0
0.031092,0.084639,-1.028923,1
0.037681,0.077086,-1.029918,1
-0.255513,-0.994878,0.11913,2
-0.208405,-0.98631,0.049178,2
0.029293,-1.01298,0.069326,1
-0.792486,-0.414779,-0.218426,2
0.011185,-1.016153,0.143441,1
0.023031,0.061511,-1.025086,1
-0.217631,-0.952126,0.00767,2
0.034455,-1.002909,0.079615,0
0.03284,-1.003229,0.081757,0
-0.841302,-0.545109,0.017532,2
-0.786682,0.610809,0.040405,0
0.019812,0.031213,-0.999175,0
-0.261645,-0.930915,0.178474,2
-0.783936,0.612,0.035919,0
-0.001862,1.020599,0.020355,2
0.05832,-0.988868,-0.007243,1
0.018584,0.031162,-0.998605,0
0.019775,0.031913,-0.99895,0
0.040323,-0.97672,0.013149,1
0.033029,-1.002766,0.082888,0
-0.762665,0.613678,0.039734,1
-0.724256,-0.705967,0.056864,2
-0.742548,-0.675976,0.061467,2
-0.047424,0.971558,0.040466,2
-0.785583,0.609955,0.039154,0
-0.750154,-0.671438,0.072696,2
0.020589,0.033847,-0.998914,0
0.012568,0.052142,-0.912465,1
0.032066,-1.002584,0.081246,0
0.03361,-1.002392,0.082491,0
0.033597,-1.001658,0.080726,0
0.03307,-1.002007,0.079902,0
0.181305,0.974457,-0.02417,2
0.019191,0.031472,-0.996922,0
0.034062,-1.004552,0.079729,0
0.063379,-0.984727,0.038278,1
-0.787201,0.609436,0.041107,0
0.018969,0.032614,-0.997483,0
0.015796,0.022296,-1.058182,1
-0.004509,0.009208,-0.888,1
0.031881,-1.003343,0.085758,0
-0.7883,0.60968,0.040741,0
0.016549,0.033197,-1.000228,0
0.034001,-1.003656,0.080437,0
0.032105,-1.002403,0.082834,0
-0.786499,0.610291,0.037231,0
0.046531,-0.969837,0.011453,1
0.033618,-1.001117,0.079478,0
0.004822,0.931091,0.105133,2
0.0316,-0.981283,0.062405,1
-0.763977,0.626129,0.04187,1
0.022095,0.033429,-0.99882,0
0.01971,0.032532,-0.999337,0
-0.761597,0.606995,0.042114,1
0.033059,-1.002133,0.083136,0
0.1539,0.995575,0.035614,2
-0.785309,0.611572,0.038086,0
0.018948,0.032009,-0.999532,0
-0.810211,0.597809,0.041351,1
-0.807495,0.589752,0.044617,1
0.021678,-1.006766,0.12493,1
0.020627,0.032802,-0.998657,0
-0.306456,-0.928964,0.051268,2
0.01911,0.030553,-0.99855,0
0.019774,0.032483,-1.000007,0
-0.786682,0.611023,0.039886,0
-0.789767,-0.655732,0.049359,2
-0.759857,0.594574,0.039215,1
0.004608,1.139648,0.079254,2
0.033618,-1.00314,0.083432,0
-0.767391,-0.693284,0.123952,2
